Goal #,robust,robust,robust,robust,naive,naive,naive,naive,mean,mean,mean,mean,
,fail rate, reached goal, tracking RMSE, path length, fail rate, reached goal, tracking RMSE, path length, fail rate, reached goal, tracking RMSE, path length
0,0.0,100.0,3.302199949081305,101.77071816559948,0.0,100.0,0.5510180578315581,32.48948853915478,-,-,-,-,
1,0.0,100.0,2.0084482147003118,38.05003642269978,-,-,-,-,-,-,-,-,
2,0.0,100.0,3.156326192341997,46.5976628839255,-,-,-,-,-,-,-,-,
3,-,-,-,-,0.0,100.0,1.391695502807103,90.5381056930176,0.0,100.0,2.615970506317056,93.81175103616931,
4,-,-,-,-,0.0,100.0,2.9026157247949356,67.34153252239744,40.0,0.0,11.165632720814315,104.45555975682082,
5,0.0,100.0,4.671099833673784,74.0233911299262,0.0,100.0,1.2303836703531161,57.15536150779273,0.0,100.0,1.4620106354846878,62.70114137544598,
6,0.0,100.0,0.811972298756287,47.393638912461206,0.0,100.0,0.5759494194220782,47.315031012482095,-,-,-,-,
7,0.0,100.0,4.074343328608773,65.05000112874085,0.0,0.0,1.4490630741761175,43.025273763303375,-,-,-,-,
8,0.0,100.0,1.203269765090189,79.59406812287652,0.0,100.0,0.8429463472200525,78.08559563469325,0.0,100.0,0.5758308114709905,80.06418650897088,
9,-,-,-,-,-,-,-,-,-,-,-,-,
